Minnesota Timberwolves,2015,82,.332,.438,6820,.367,.487,6933
Denver Nuggets,2015,82,.325,.433,7158,.346,.458,6909
Utah Jazz,2015,82,.343,.447,6492,.362,.446,6587
Oklahoma City Thunder,2015,82,.339,.447,7119,.343,.440,7008
Portland Trail Blazers,2015,82,.362,.450,7049,.338,.439,7123
Orlando Magic,2015,82,.347,.453,6792,.368,.463,6720
Charlotte Hornets,2015,82,.318,.420,6932,.357,.440,6863
Miami Heat,2015,82,.335,.456,6330,.353,.454,6523
Washington Wizards,2015,82,.360,.462,6790,.349,.433,6844
Atlanta Hawks,2015,82,.380,.466,6699,.341,.439,6815
Detroit Pistons,2015,82,.344,.432,7038,.355,.456,6817
Indiana Pacers,2015,82,.352,.439,6824,.345,.435,6784
Milwaukee Bucks,2015,82,.363,.459,6722,.342,.437,6681
Chicago Bulls,2015,82,.353,.442,6797,.335,.435,7109
Cleveland Cavaliers,2015,82,.367,.458,6739,.343,.456,6850
New York Knicks,2015,82,.347,.428,6726,.380,.460,6592
Philadelphia 76ers,2015,82,.320,.408,6777,.350,.449,6785
Brooklyn Nets,2015,82,.331,.451,6804,.358,.456,6913
Boston Celtics,2015,82,.327,.443,7211,.336,.450,6943
Toronto Raptors,2015,82,.352,.455,6829,.346,.459,6787
Houston Rockets,2016,82,.347,.452,6847,.361,.459,6977
Memphis Grizzlies,2016,82,.331,.440,6859,.365,.456,6459
Dallas Mavericks,2016,82,.344,.444,6900,.342,.451,6971
San Antonio Spurs,2016,82,.375,.484,6797,.331,.436,6709
Los Angeles Lakers,2016,82,.317,.414,6956,.347,.473,7023
Phoenix Suns,2016,82,.348,.435,7018,.377,.467,6870
Sacramento Kings,2016,82,.359,.464,7083,.366,.462,7194
Los Angeles Clippers,2016,82,.364,.465,6759,.338,.434,6946
Golden State Warriors,2016,82,.416,.487,7159,.332,.435,7330
Minnesota Timberwolves,2016,82,.338,.464,6668,.355,.471,6962
Denver Nuggets,2016,82,.338,.442,7003,.371,.461,6904
Utah Jazz,2016,82,.355,.449,6593,.357,.446,6549
Portland Trail Blazers,2016,82,.370,.450,7040,.371,.453,6945
Oklahoma City Thunder,2016,82,.349,.476,7082,.342,.438,7192
Orlando Magic,2016,82,.350,.455,7120,.359,.460,6850
Washington Wizards,2016,82,.358,.460,7033,.371,.462,6868
Charlotte Hornets,2016,82,.362,.439,6922,.349,.444,6971
Indiana Pacers,2016,82,.351,.450,6985,.334,.440,6962
Cleveland Cavaliers,2016,82,.362,.460,6888,.347,.448,6736
Philadelphia 76ers,2016,82,.339,.431,6887,.359,.464,7005
Brooklyn Nets,2016,82,.352,.453,6920,.369,.479,6984
New York Knicks,2016,82,.346,.439,6886,.341,.443,7035
Boston Celtics,2016,82,.335,.439,7318,.336,.441,6973
