Shayne Whittington,Indiana Pacers,2016,24,7.4
Rakeem Christmas,Indiana Pacers,2016,24,32.0
LeBron James,Cleveland Cavaliers,2016,31,27.5
Kevin Love,Cleveland Cavaliers,2016,27,19.0
J.R. Smith,Cleveland Cavaliers,2016,30,12.4
Tristan Thompson,Cleveland Cavaliers,2016,24,15.9
Matthew Dellavedova,Cleveland Cavaliers,2016,25,11.3
Kyrie Irving,Cleveland Cavaliers,2016,23,19.9
Timofey Mozgov,Cleveland Cavaliers,2016,29,14.6
Richard Jefferson,Cleveland Cavaliers,2016,35,9.7
Iman Shumpert,Cleveland Cavaliers,2016,25,8.4
Mo Williams,Cleveland Cavaliers,2016,33,12.4
James Jones,Cleveland Cavaliers,2016,35,11.6
Channing Frye,Cleveland Cavaliers,2016,32,14.9
Jared Cunningham,Cleveland Cavaliers,2016,24,5.9
Anderson Varejao,Cleveland Cavaliers,2016,33,11.2
Jordan McRae,Cleveland Cavaliers,2016,24,14.2
Sasha Kaun,Cleveland Cavaliers,2016,30,12.5
Dahntay Jones,Cleveland Cavaliers,2016,35,10.3
Joe Harris,Cleveland Cavaliers,2016,24,3.4
Anthony Davis,New Orleans Pelicans,2016,22,25.0
Ryan Anderson,New Orleans Pelicans,2016,27,17.2
Dante Cunningham,New Orleans Pelicans,2016,28,8.6
Jrue Holiday,New Orleans Pelicans,2016,25,19.7
Alonzo Gee,New Orleans Pelicans,2016,28,8.4
Eric Gordon,New Orleans Pelicans,2016,27,13.5
Toney Douglas,New Orleans Pelicans,2016,29,14.7
Norris Cole,New Orleans Pelicans,2016,27,10.8
Omer Asik,New Orleans Pelicans,2016,29,11.0
Alexis Ajinca,New Orleans Pelicans,2016,27,13.8
Luke Babbitt,New Orleans Pelicans,2016,26,11.6
Tyreke Evans,New Orleans Pelicans,2016,26,17.9
Ish Smith,New Orleans Pelicans,2016,27,16.3
Kendrick Perkins,New Orleans Pelicans,2016,31,6.0
Tim Frazier,New Orleans Pelicans,2016,25,19.1
Jordan Hamilton,New Orleans Pelicans,2016,25,12.4
James Ennis,New Orleans Pelicans,2016,25,18.1
Bryce Dejean-Jones,New Orleans Pelicans,2016,23,9.6
Orlando Johnson,New Orleans Pelicans,2016,26,-2.1
Nate Robinson,New Orleans Pelicans,2016,31,2.6
Jimmer Fredette,New Orleans Pelicans,2016,26,-1.6
Tyreke Evans,New Orleans Pelicans,2015,25,17.7
Anthony Davis,New Orleans Pelicans,2015,21,30.8
Eric Gordon,New Orleans Pelicans,2015,26,12.7
Omer Asik,New Orleans Pelicans,2015,28,15.5
Ryan Anderson,New Orleans Pelicans,2015,26,15.6
Dante Cunningham,New Orleans Pelicans,2015,27,8.9
Jrue Holiday,New Orleans Pelicans,2015,24,18.8
Quincy Pondexter,New Orleans Pelicans,2015,26,11.1
Alexis Ajinca,New Orleans Pelicans,2015,26,19.9
Luke Babbitt,New Orleans Pelicans,2015,25,11.1
Austin Rivers,New Orleans Pelicans,2015,22,10.1
Norris Cole,New Orleans Pelicans,2015,26,12.6
Jimmer Fredette,New Orleans Pelicans,2015,25,9.8
John Salmons,New Orleans Pelicans,2015,35,5.1
Jeff Withey,New Orleans Pelicans,2015,24,17.6
Toney Douglas,New Orleans Pelicans,2015,28,11.2
Nate Wolters,New Orleans Pelicans,2015,23,3.5
Elliot Williams,New Orleans Pelicans,2015,25,5.6
Gal Mekel,New Orleans Pelicans,2015,26,0.5
Darius Miller,New Orleans Pelicans,2015,24,-5.1
Russ Smith,New Orleans Pelicans,2015,23,-16.6
Anthony Davis,New Orleans Pelicans,2014,20,26.5
Eric Gordon,New Orleans Pelicans,2014,25,14.9
Al-Farouq Aminu,New Orleans Pelicans,2014,23,13.2
Tyreke Evans,New Orleans Pelicans,2014,24,18.4
Brian Roberts,New Orleans Pelicans,2014,28,13.4
Anthony Morrow,New Orleans Pelicans,2014,28,13.9
Austin Rivers,New Orleans Pelicans,2014,21,11.6
Jrue Holiday,New Orleans Pelicans,2014,23,17.1
Greg Stiemsma,New Orleans Pelicans,2014,28,9.7
Alexis Ajinca,New Orleans Pelicans,2014,25,14.6
Jason Smith,New Orleans Pelicans,2014,27,12.4
Ryan Anderson,New Orleans Pelicans,2014,25,18.8
Darius Miller,New Orleans Pelicans,2014,23,9.0
Jeff Withey,New Orleans Pelicans,2014,23,15.2
Luke Babbitt,New Orleans Pelicans,2014,24,12.1
Lou Amundson,New Orleans Pelicans,2014,31,9.2
Lance Thomas,New Orleans Pelicans,2014,25,0.5
James Southerland,New Orleans Pelicans,2014,23,17.7
Melvin Ely,New Orleans Pelicans,2014,35,3.9
Arinze Onuaku,New Orleans Pelicans,2014,26,5.6
Josh Childress,New Orleans Pelicans,2014,30,3.9
Greivis Vasquez,New Orleans Hornets,2013,26,16.3
Ryan Anderson,New Orleans Hornets,2013,24,18.1
Robin Lopez,New Orleans Hornets,2013,24,18.9
Al-Farouq Aminu,New Orleans Hornets,2013,22,13.7
Anthony Davis,New Orleans Hornets,2013,19,21.7
Austin Rivers,New Orleans Hornets,2013,20,5.9
Brian Roberts,New Orleans Hornets,2013,27,14.6
Eric Gordon,New Orleans Hornets,2013,24,15.4
Roger Mason,New Orleans Hornets,2013,32,10.0
